id,pracab,pracabbrev,praccolor,rgbcolor,hexcolor
3692,TRN,TRN,"99,86,43,44",,
3693,V54,V54,"0,91,91,0",,
3694,KDN,KDN,"89,28,100,16",,
3695,BAB,BAB,"97,74,2,0",,
3696,HEW,HEW,"48,92,72,39",,
3697,LEV,LEV,"26,45,66,4",,
3698,ENC,ENC,"83,44,87,49",,
3699,HMC,HMC,"100,76,25,9",,
3700,MSR,MSR,"75,68,67,90",,
3701,NKG,NKG,"67,56,16,1",,
3702,SST,SST,"75,53,52,28",,
3703,CAM,CAM,"40,71,89,47",,
3704,BOE,BOE,"65,65,100,28",,
3705,CLP,CLP,"100,80,44,41",,
3706,PAV,PAV,"87,35,100,29",,
3707,SCY,SCY,"42,31,96,6",,
3708,MIL,MIL,"56,13,100,0",,
3709,CHL,CHL,"88,35,100,30",,
3710,COV,COV,"96,88,5,0",,
3711,ELA,ELA,"42,80,71,56",,
3712,FRG,FRG,"71,7,2,0",,
3713,OBR,OBR,"88,32,100,23",,
3714,AMO,AMO,"100,97,27,15",,
3715,AUP,AUP,"25,95,100,23",,
3716,APF,APF,"25,95,100,23",,
3717,CRN,CRN,"100,95,18,5",,
3718,DVS,DVS,"86,40,87,38",,
3719,BPT,BPT,"32,84,66,27",,
3720,CLA,CLA,"9,55,100,0",,
3721,ELR,ELR,"31,65,83,21",,
3722,TIR,TIR,"80,55,2,0",,
3723,ZAR,ZAR,"23,94,78,14",,
3724,AHA,AHA,"88,53,0,0",,
3725,EMR,EMR,"76,14,18,0",,
3726,NOO,NOO,"31,33,51,1",,
3727,ROS,ROS,"58,34,24,0",,
3728,RHP,RHP,"25,76,100,18",,
3729,L41,L41,"32,86,80,37",,
3730,PLH,PLH,"53,4,100,20",,
3731,CON,CON,"42,64,71,34",,
3732,ECO,ECO,"100,87,10,1",,
3733,VNZ,VNZ,"100,100,30,21",,
3734,LUB,LUB,"82,6,100,0",,
3735,CPE,CPE,"96,73,2,0",,
3736,FSH,FSH,"33,80,60,21",,
3737,STB,STB,"75,16,44,0",,
3738,TOR,TOR,"83,98,2,0",,
3739,HAM,HAM,"100,98,27,14",,
3740,WHP,WHP,"71,36,0,0",,
3741,CRD,CRD,"32,100,74,39",,
3742,UPV,UPV,"86,63,9,0",,
3743,WLL,WLL,"0,62,96,0",,
3744,MAA,MAA,"17,20,100,0",,
3745,NHP,NHP,"100,83,34,21",,
3746,LIO,LIO,"41,69,83,44",,
3747,IND,IND,"88,46,18,1",,
3748,GWB,GWB,"27,88,78,26",,
3749,KNN,KNN,"0,0,0,100",,
3750,DUN,DUN,"68,41,20,1",,
3751,BCV,BCV,"50,24,3,0",,
3752,VDC,VDC,"85,34,31,2",,
3753,SPS,SPS,"54,70,40,18",,
3754,ASM,ASM,"85,72,31,15",,
3755,VTL,VTL,"75,13,12,0",,
3756,SPN,SPN,"62,24,90,6",,
3757,PRT,PRT,"52,68,72,62",,
3758,HLC,HLC,"58,24,100,5",,
3759,HAY,HAY,"23,100,69,13",,
3760,KDL,KDL,"42,50,64,16",,
3761,PED,PED,"26,71,94,16",,
3762,BLN,BLN,"40,78,67,45",,
3763,CUR,CUR,"75,13,12,0",,
3764,STA,STA,"27,99,79,25",,
3765,MOR,MOR,"18,96,100,9",,
3766,MOR,MOR,"44,86,76,69",,
3767,MOR,MOR,"44,86,76,69",,
3768,CAP,CAP,"75,13,12,0",,
3769,ALH,ALH,"32,100,63,30",,
3770,PRE,PRE,"100,83,31,17",,
3771,TVH,TVH,"75,13,12,0",,
3772,TVH,TVH,"75,13,12,0",,
3773,KIN,KIN,"85,47,0,0",,
3774,SED,SED,"84,22,68,37",,
3775,BRV,BRV,"100,79,17,3",,
3776,CTL,CTL,"100,80,44,44",,
3777,CSG,CSG,"93,75,27,12",,
3778,CDW,CDW,"89,73,13,4",,
3779,KCH,KCH,"98,68,31,13",,
3780,BGN,BGN,"90,37,99,35",,
3781,HMR,HMR,"75,13,12,0",,
3782,ACA,ACA,"2,52,100,0",,
3783,PNH,PNH,"34,100,64,38",,
3784,PVH,PVH,"40,100,56,46",,
3785,NSH,NSH,"70,8,1,0",,
3786,CTV,CTV,"29,47,100,8",,
3787,SWA,SWA,"4,100,98,0",,
3788,MPP,MPP,"80,37,0,0",,
3789,VIL,VIL,"86,31,51,9",,
3790,SAY,SAY,"83,42,0,0",,
3791,BVH,BVH,"31,69,100,24",,
3792,FOR,FOR,"72,45,36,10",,
3793,SKC,SKC,"100,84,24,7",,
3794,SRF,SRF,"89,61,1,0",,
3795,CLR,CLR,"73,7,24,0",,
3796,SRA,SRA,"75,13,12,0",,
3797,CCR,CCR,"80,15,100,2",,
3798,HPE,HPE,"75,13,12,0",,
3799,PFR,PFR,"18,100,91,8",,
3800,WOR,WOR,"18,100,90,7",,
3801,DCD,DCD,"93,72,2,0",,
3802,MNO,MNO,"74,60,33,11",,
3803,SPP,SPP,"82,60,0,0",,
3804,ABM,ABM,"66,37,0,0",,
3805,VCU,VCU,"86,40,58,21",,
3806,KQQ,KQQ,"85,17,100,3",,
3807,ARK,ARK,"85,47,0,0",,
3808,FVC,FVC,"84,20,60,3",,
3809,BEL,BEL,"91,58,5,0",,
3810,CRF,CRF,"75,98,2,0",,
3811,ARB,ARB,"57,34,15,0",,
3812,CCH,CCH,"85,30,100,18",,
