id,pracab,pracabbrev,praccolor,rgbcolor,hexcolor
842,,A725C,"0,0,0,10",,
843,,A589C,"65,27,45,3",,
844,,A074D,"58,29,100,9",,
845,,A577C,"87,92,0,0",,
846,,A670C,"76,56,75,82",,
847,,A007D,"65,53,49,22",,
848,,A703C,"73,34,13,0",,
849,,A696C,"80,61,65,87",,
850,,A581C,"100,89,42,51",,
851,,A847C,"100,78,34,20",,
852,,A693C,"60,26,66,5",,
853,,A636C,"100,81,14,2",,
854,,A751C,"87,71,0,0",,
855,,A053D,"0,95,98,0",,
856,,A350E,"56,33,27,1",,
857,,A647C,"56,18,0,0",,
858,,A570C,"43,82,56,38",,
859,,A031D,"36,15,0,0",,
860,,A574C,"47,21,16,0",,
861,,A121D,"56,58,73,46",,
862,,A632C,"34,98,71,44",,
863,,A704C,"2,38,99,0",,
864,,A721C,"0,18,100,0",,
865,,A122D,"73,36,22,1",,
866,,A347E,"0,0,0,60",,
867,,A646C,"43,35,35,1",,
868,,A094D,"87,32,64,15",,
869,,A349E,"43,35,35,1",,
870,,A768C,"43,35,35,1",,
871,,A767C,"100,95,13,4",,
872,,A705C,"78,47,0,0",,
873,,A623C,"53,21,100,3",,
874,,A815C,"93,79,0,0",,
875,,A055D,"96,73,2,0",,
876,,A154D,"90,74,2,0",,
877,,A821C,"100,0,0,0",,
878,,A618C,"86,78,0,0",,
879,,A163D,"0,0,0,90",,
880,,A108D,"29,100,83,31",,
881,,A771C,"50,16,87,1",,
882,,A757C,"84,13,100,2",,
883,,A008D,"100,96,35,32",,
884,,A624C,"2,98,52,0",,
885,,A770C,"85,96,15,3",,
886,,A019D,"100,82,41,36",,
887,,A601C,"80,53,0,0",,
888,,A688C,"8,6,6,0",,
889,,A646D,"0,56,99,0",,
890,,A605D,"100,86,37,28",,
891,,A644D,"1,99,95,0",,
892,,A645D,"93,59,24,5",,
893,,A638C,"4,5,34,0",,
894,,A524D,"77,50,47,20",,
895,,A586D,"0,18,100,0",,
896,,A201D,"53,53,22,1",,
897,,A489D,"60,51,51,21",,
898,,A689C,"36,96,76,56",,
899,,A584D,"90,74,2,0",,
900,,A540D,"74,15,31,0",,
901,,A894C,"67,79,0,0",,
902,,A373D,"90,47,30,6",,
903,,A014D,"38,68,83,36",,
904,,A300D,"93,67,28,10",,
905,,A187D,"64,36,84,20",,
906,,A306D,"67,63,5,0",,
907,,A495D,"21,39,98,2",,
908,ZAW,A017D,"61,60,87,68",,
909,,A644C,"100,78,36,23",,
910,ZAX,A901C,"100,81,25,10",,
911,,A872C,"30,96,86,36",,
912,,A133D,"15,100,98,5",,
913,,A984C,"98,80,32,19",,
914,ZAY,A617C,"89,78,0,0",,
915,,A706D,"5,62,93,0",,
916,,A320D,"60,26,15,0",,
917,,A530D,"0,80,85,0",,
918,,A340D,"86,38,90,34",,
919,,A515D,"10,100,98,2",,
920,,A864C,"67,3,2,0",,
921,,A308D,"100,80,27,12",,
922,,A865C,"60,14,1,0",,
923,,A479D,"74,86,27,13",,
924,,A185D,"88,94,37,34",,
925,,A453D,"53,6,38,0",,
926,,A298D,"0,0,0,80",,
927,,A336D,"87,34,100,28",,
928,,A209D,"36,70,100,36",,
929,,A408D,"100,82,41,36",,
930,ZAZ,A900C,"0,100,100,0",,
931,ZA0,A906C,"100,98,6,7",,
932,,A436D,"81,58,31,10",,
933,,A127D,"69,27,62,7",,
934,,A424D,"14,48,92,1",,
935,,A685D,"84,66,0,0",,
936,,A668D,"100,75,41,32",,
937,,A487D,"56,70,66,64",,
938,ZA1,A902C,"25,100,97,24",,
939,,A895C,"100,87,13,2",,
940,,A740D,"3,66,99,0",,
941,,A539D,"100,85,3,0",,
942,,A552D,"70,5,96,0",,
943,,A731D,"80,27,100,13",,
944,,A532D,"100,100,31,24",,
945,,A718D,"57,76,66,77",,
946,,A459D,"77,5,46,0",,
947,,A452D,"57,22,24,0",,
948,,A505D,"97,74,14,2",,
949,ZA2,A167D,"87,33,96,23",,
950,,A224D,"99,86,5,0",,
951,,A598D,"40,100,41,21",,
952,,A475D,"73,11,81,1",,
953,,A556D,"64,24,2,0",,
954,,A443D,"81,25,40,2",,
955,,A527D,"43,11,0,0",,
956,,A502D,"85,74,0,0",,
957,,A183D,"58,29,100,9",,
958,,A338D,"12,100,100,3",,
959,,A451D,"83,66,44,29",,
960,,A545D,"100,99,28,17",,
961,,A875C,"86,60,18,2",,
962,ZA3,A587C,"69,5,34,0",,
963,,A885C,"35,20,5,0",,
964,ZA4,A690C,"95,71,6,0",,
965,,A869C,"98,68,47,37",,
966,,A519D,"100,98,40,47",,
967,,A315D,"0,18,100,0",,
968,,A438D,"57,43,80,26",,
969,,A886C,"70,64,63,61",,
970,,A876C,"86,42,19,1",,
971,,A710D,"85,21,73,6",,
972,,A385D,"55,100,27,10",,
973,,A318D,"71,12,85,1",,
974,,A521D,"67,24,15,0",,
975,,A302D,"100,82,41,36",,
976,,A413D,"81,42,0,0",,
977,,A890C,"23,99,76,15",,
978,,A226D,"100,91,4,1",,
979,,A481D,"85,76,0,0",,
980,,A694D,"7,14,26,0",,
981,,A543D,"72,100,15,4",,
982,,A856C,"42,6,91,0",,
983,,A708D,"80,8,70,0",,
984,,A535D,"16,0,1,0",,
985,,A359D,"100,100,28,17",,
986,,A200D,"60,26,66,5",,
987,,A716D,"85,64,0,0",,
988,,A711D,"40,65,90,35",,
989,,A312D,"17,54,100,2",,
990,,A492D,"44,73,80,58",,
991,,A553D,"44,72,82,57",,
992,,A712D,"88,69,27,9",,
993,,A678C,"65,56,56,32",,
994,,A041D,"89,64,22,4",,
995,,A528D,"67,43,4,0",,
996,,A326D,"28,97,100,31",,
997,,A194D,"76,27,0,0",,
998,,A520D,"55,0,9,0",,
999,,A012D,"69,0,100,0",,
1000,,A429D,"76,29,72,12",,
1001,ZA5,A707C,"69,5,34,0",,
1002,,A457D,"42,76,89,60",,
1003,,A507D,"88,42,34,7",,
1004,,A559D,"51,26,65,4",,
1005,ZA6,A903C,"85,33,72,20",,
1006,,A067D,"69,63,62,58",,
1007,,A441D,"59,1,100,0",,
1008,,A179D,"68,38,20,0",,
1009,ZA7,A042D,"0,0,0,100",,
1010,,A635D,"46,33,100,9",,
1011,,A628C,"36,94,92,58",,
1012,,A303D,"100,87,38,34",,
1013,,A707D,"26,98,97,25",,
1014,,A165D,"85,47,0,0",,
1015,,A428D,"44,72,82,57",,
1016,,A207D,"87,32,49,9",,
1017,,A485D,"1,99,95,0",,
1018,,A307D,"5,100,98,0",,
1019,ZA8,A679C,"72,96,35,27",,
1020,,A686D,"88,77,0,0",,
1021,,A322D,"53,21,100,3",,
1022,,A177D,"87,46,44,16",,
1023,ZA9,A680C,"100,87,37,29",,
1024,,A405D,"55,14,27,0",,
1025,,A670D,"1,99,95,0",,
1026,,A450D,"83,41,100,42",,
1027,ZBB,A135D,"100,80,3,0",,
1028,,A432D,"100,83,8,1",,
1029,,A893C,"51,25,2,0",,
1030,ZBD,A910C,"87,36,94,29",,
1031,,A040D,"67,20,35,0",,
1032,,A508D,"88,53,21,3",,
1033,,A877C,"100,82,41,36",,
1034,ZBE,A708C,"42,41,27,0",,
1035,,A365D,"79,55,39,16",,
1036,,A854C,"51,45,73,22",,
1037,,A666D,"98,81,1,0",,
1038,,A684D,"0,99,97,0",,
1039,,A578D,"85,69,39,25",,
1040,,A468D,"95,82,40,35",,
1041,,A202D,"84,78,46,46",,
1042,,A857C,"96,75,49,48",,
1043,,A225D,"84,34,69,19",,
1044,,A442D,"94,79,21,6",,
1045,,A227D,"54,35,29,1",,
1046,,A882C,"78,31,51,8",,
1047,,A637D,"100,99,22,9",,
1048,,A567D,"75,100,24,13",,
1049,,A874C,"78,38,0,0",,
1050,,A266F,"87,52,0,13",,
1051,,A486D,"88,34,100,28",,
1052,,A896C,"58,66,81,75",,
1053,,A573D,"44,72,82,57",,
1054,,A705D,"79,70,58,69",,
1055,,A562D,"63,53,49,22",,
1056,,A425D,"0,91,80,0",,
1057,,A572D,"81,31,32,2",,
1058,,A554D,"91,57,50,32",,
1059,,A175D,"67,63,5,0",,
1060,,A015D,"92,85,52,65",,
1061,,A629C,"64,6,0,0",,
1062,,A550D,"100,77,35,22",,
1063,,A636D,"57,52,78,40",,
1064,,A534D,"75,68,67,90",,
1065,,A293D,"89,82,52,69",,
1066,,A310D,"7,100,100,1",,
1067,,A130D,"86,31,49,8",,
1068,,A230D,"85,50,0,0",,
1069,,A551D,"36,34,62,3",,
1070,,A506D,"100,95,16,4",,
1071,,A570D,"16,100,98,6",,
1072,,A301D,"71,5,42,0",,
1073,,A184D,"89,33,99,24",,
1074,,A166D,"0,69,93,0",,
1075,,A309D,"44,4,0,0",,
1076,,A736D,"23,100,79,16",,
1077,ZBF,A071D,"84,33,72,20",,
1078,ZBG,A908C,"0,0,0,87",,
1079,,A231D,"66,64,66,67",,
1080,,A228D,"56,4,100,0",,
1081,,A196D,"33,98,93,51",,
1082,,A366D,"28,100,92,34",,
1083,,A469D,"7,4,38,0",,
1084,,A704D,"15,100,100,6",,
1085,,A687D,"51,52,61,23",,
1086,,A444D,"79,64,51,42",,
1087,,A588D,"85,10,100,10",,
1088,,A863C,"22,39,66,1",,
1089,,A582D,"73,20,0,0",,
1090,,A374D,"84,45,2,0",,
1091,,A439D,"87,41,95,44",,
1092,,A891C,"74,54,18,2",,
1093,,A607C,"58,2,20,0",,
1094,,A422D,"67,64,62,57",,
1095,,A504D,"7,0,97,0",,
1096,,A576D,"48,78,70,67",,
1097,,A600D,"83,51,14,0",,
1098,,A673D,"55,60,62,38",,
1099,,A361D,"77,29,44,4",,
1100,,A871C,"66,45,0,0",,
1101,,A583D,"87,24,100,13",,
1102,,A561D,"87,24,100,13",,
1103,ZBH,A904C,"51,56,67,33",,
1104,,A437D,"0,94,96,0",,
1105,,A304D,"88,54,0,0",,
1106,,A544D,"74,21,0,0",,
1107,,A128D,"75,67,67,87",,
1108,,A676D,"7,14,26,0",,
1109,,A706C,"75,16,100,2",,
1110,,A493D,"19,99,96,10",,
1111,,A456D,"4,100,97,0",,
1112,,A131D,"11,95,65,1",,
1113,,A406D,"79,39,0,0",,
1114,,A595D,"71,33,24,1",,
1115,,A667C,"75,0,48,0",,
1116,,A714D,"70,0,36,0",,
1117,,A674D,"100,92,33,29",,
1118,,A719D,"86,49,6,0",,
1119,,A484D,"69,60,57,43",,
1120,,A498D,"37,100,60,42",,
1121,,A729D,"90,50,30,7",,
1122,,A499D,"0,0,0,95",,
1123,,A689D,"38,93,36,10",,
1124,,A656D,"83,47,0,0",,
1125,ZCW,ZCW,"99,86,5,0",,
1126,ZPP,ZPP,"99,86,5,0",,
1127,ZYO,ZYO,"99,86,5,0",,
1128,ZSR,ZSR,"81,61,0,0",,
1129,ZJV,ZJV,"98,82,25,10",,
1130,ZKW,ZKW,"30,62,100,18",,
1131,ZAP,ZAP,"100,84,31,16",,
1132,Z66,Z66,"72,12,7,0",,
1133,,A002A,"85,48,0,0",,
1134,,A004A,"56,43,32,3",,
1135,,A005A,"83,42,22,1",,
1136,,A008A,"50,44,32,2",,
1137,,A007A,"50,44,32,2",,
1138,,A009A,"88,31,99,21",,
1139,,A010A,"62,25,29,0",,
1140,,A047A,"98,72,47,11",,
1141,,A012A,"70,53,52,25",,
1142,,A197D,"48,23,20,0",,
1143,,A013A,"36,92,79,54",,
1144,,A015A,"100,80,33,20",,
1145,,A016A,"100,78,23,8",,
1146,,A351D,"13,100,98,4",,
1147,,A019A,"0,100,100,9",,
1148,,A021A,"38,0,27,0",,
1149,,A091A,"1,51,96,0",,
1150,,A022A,"68,51,45,18",,
1151,,A023A,"71,33,0,0",,
1152,,A027A,"100,94,27,25",,
1153,,A028A,"49,62,83,50",,
1154,,A029A,"96,87,14,3",,
1155,,A042A,"87,43,20,1",,
1156,,A033A,"88,77,0,0",,
1157,,A034A,"28,73,76,19",,
1158,,A036A,"54,23,34,0",,
1159,,A038A,"94,78,0,0",,
1160,,A040A,"81,49,92,61",,
1161,,A041A,"29,100,97,39",,
1162,,A419D,"100,92,26,13",,
1163,,A347D,"67,0,39,0",,
1164,,A043A,"1,14,99,0",,
1165,,A086A,"88,76,0,0",,
1166,,A354D,"87,32,100,24",,
1167,,A048A,"11,97,99,2",,
1168,,A049A,"61,52,52,23",,
1169,,A050A,"6,60,98,0",,
1170,,A051A,"100,89,30,19",,
1171,,A052A,"21,97,100,16",,
1172,,A054A,"37,97,63,47",,
1173,,A055A,"37,97,63,47",,
1174,,A057A,"76,3,55,0",,
1175,,A058A,"30,100,89,42",,
1176,,A059A,"86,32,49,9",,
1177,,A061A,"28,41,74,4",,
1178,,A350D,"87,25,88,11",,
1179,,A062A,"75,53,18,1",,
1180,,A064A,"66,5,6,8",,
1181,,A065A,"50,1,54,0",,
1182,,A066A,"78,50,0,0",,
1183,,A067A,"42,34,35,1",,
1184,,A378D,"47,30,91,7",,
1185,,A070A,"83,21,100,7",,
1186,,A071A,"58,12,0,0",,
1187,,A032A,"58,12,0,0",,
1188,,A415D,"7,93,24,0",,
1189,,A074A,"21,23,47,0",,
1190,,A075A,"0,69,100,0",,
1191,,A076A,"72,47,100,50",,
1192,,A060A,"0,74,100,0",,
1193,,A290D,"80,21,100,6",,
1194,,A218D,"72,18,30,0",,
1195,,A077A,"70,29,0,0",,
1196,,A069A,"75,23,0,0",,
1197,,A352D,"48,5,9,0",,
1198,,A087A,"86,32,49,9",,
1199,,A088A,"63,39,87,25",,
1200,,A090A,"0,74,100,0",,
1201,,A947C,"76,29,44,4",,
1202,,A946C,"100,92,30,23",,
1203,,A944C,"72,30,0,0",,
1204,,A143D,"0,100,100,0",,
1205,,A608C,"13,100,96,4",,
1206,,A141D,"70,36,99,23",,
1207,,A146D,"4,100,100,0",,
1208,,A081D,"2,94,100,0",,
1209,,A642C,"76,53,21,2",,
1210,,A951C,"61,68,73,78",,
1211,,A950C,"13,16,35,0",,
1212,,A957C,"79,2,100,0",,
1213,,A939C,"9,48,100,0",,
1214,,A080D,"77,84,29,15",,
1215,,A602C,"71,49,16,1",,
1216,,A940C,"65,25,4,0",,
1217,,A603C,"83,27,39,2",,
1218,,A673C,"84,35,34,4",,
1219,,A145D,"62,16,2,0",,
1220,,A637C,"53,62,94,57",,
1221,,A945C,"78,29,1,0",,
1222,,A949C,"41,7,2,0",,
1223,,A942C,"7,61,60,0",,
1224,,A930C,"0,50,76,0",,
1225,,A075D,"0,28,0,0",,
1226,,A959C,"72,45,0,0",,
1227,,A045D,"100,89,36,29",,
1228,,A593C,"100,89,36,29",,
1229,,A937C,"100,89,36,29",,
1230,,A022D,"51,49,66,24",,
1231,,A078D,"87,22,100,9",,
1232,,A961C,"88,27,92,15",,
1233,,A956C,"88,27,92,15",,
1234,,A935C,"88,44,36,9",,
1235,,A020D,"29,100,98,37",,
1236,,A933C,"0,71,100,0",,
1237,,A692C,"22,98,90,14",,
1238,,A021D,"77,19,13,0",,
1239,,A077D,"71,29,0,0",,
1240,,A169D,"57,5,56,0",,
1241,,A005D,"84,65,44,29",,
1242,,A660D,"80,8,70,0",,
1243,,A150D,"67,7,0,0",,
1244,,A346D,"78,54,41,17",,
1245,,A733D,"70,15,0,0",,
1246,,A003D,"68,75,0,0",,
1247,,A085D,"87,42,18,1",,
1248,,A006D,"100,87,33,23",,
1249,,A032D,"86,66,0,0",,
1250,,A696D,"84,51,67,51",,
1251,,A661D,"15,100,90,10",,
1252,,A345D,"64,22,74,4",,
1253,,A049D,"0,80,100,0",,
1254,,A176D,"42,80,71,56",,
1255,,A414D,"93,59,18,2",,
1256,,A086D,"87,36,43,9",,
1257,,A093A,"57,31,100,11",,
1258,,A094A,"76,5,36,0",,
1259,,A095A,"76,5,36,0",,
1260,,A096A,"70,49,80,49",,
1261,,A097A,"40,4,100,0",,
1262,,A098A,"28,96,100,31",,
1263,,A099A,"0,18,100,0",,
1264,,A100A,"98,72,33,17",,
1265,,A101A,"81,20,49,2",,
1266,,A102A,"44,0,71,0",,
1267,,A103A,"5,35,100,0",,
1268,,A104A,"26,97,100,22",,
1269,,A106A,"100,93,35,27",,
1270,,A107A,"78,54,0,0",,
1271,,A108A,"70,25,0,0",,
1272,,A109A,"78,54,0,0",,
1273,,A110A,"39,91,84,61",,
1274,,A112A,"0,0,0,100",,
1275,,A113A,"75,5,39,0",,
1276,,A114A,"73,73,32,15",,
1277,,A115A,"84,79,50,58",,
1278,,A116A,"87,50,50,25",,
1279,,A117A,"60,7,100,0",,
1280,,A119A,"17,100,100,9",,
1281,,A120A,"100,82,41,36",,
1282,,A121A,"78,72,49,44",,
1283,,A122A,"25,91,64,14",,
1284,,A123A,"77,31,46,6",,
1285,,A124A,"40,66,94,40",,
1286,,A126A,"72,7,33,0",,
1287,,A127A,"58,0,35,0",,
1288,,A128A,"61,26,0,0",,
1289,,A129A,"54,77,69,77",,
1290,,A130A,"78,46,24,2",,
1291,,HRA,"44,78,59,41",,
1292,,STP,"82,25,35,1",,
1294,,TRT,"9,12,89,0",,
1295,,LKW,"74,28,0,0",,
1296,,SPT,"48,34,79,10",,
1297,,IRN,"22,95,96,15",,
1298,,ELC,"72,96,0,0",,
1299,,MAR,"74,32,99,18",,
1300,,SFK,"58,60,1,0",,
1301,,DAN,"64,38,32,3",,
1302,,SOS,"74,0,100,0",,
1303,,THO,"81,40,0,0",,
1304,,TUM,"100,91,41,47",,
1305,,MRA,"57,22,24,0",,
1306,,GUA,"22,100,96,14",,
1307,,DKB,"75,26,66,8",,
1309,,DAR,"74,44,38,9",,
1311,,CEC,"57,95,4,0",,
1312,,PKN,"88,52,3,0",,
1313,,MSN,"44,11,99,0",,
1314,,FLM,"74,36,89,25",,
1315,,CHP,"100,91,5,1",,
1316,,CRK,"72,44,33,6",,
1317,,FLN,"92,95,2,0",,
1319,,TOK,"100,94,2,2",,
1320,,MRC,"29,7,49,0",,
1321,,WLD,"90,31,97,21",,
1322,,PIN,"54,0,18,0",,
1323,,ROT,"0,53,53,0",,
1324,,AVR,"95,70,0,0",,
1325,,AML,"93,81,24,9",,
1326,,OCL,"100,78,40,32",,
1327,,WOD,"93,55,53,35",,
1328,,LAU,"55,3,100,0",,
1329,,AUB,"4,88,100,0",,
1330,,CCC,"80,36,20,0",,
1331,,JEF,"68,29,96,12",,
1332,,A361F,"54,15,58,0",,
1333,,LEX,"68,90,0,0",,
1334,FLT,FLT,"63,35,58,11",,
1335,,AMB,"92,52,37,13",,
1336,,MIN,"16,85,100,5",,
1337,,MVV,"95,65,37,20",,
1338,,PER,"41,86,72,61",,
1339,,URB,"93,70,52,52",,
1340,,NOC,"26,99,97,23",,
1341,,WEX,"84,48,45,18",,
1342,,A358F,"86,31,49,8",,
1343,,ACH,"70,15,0,0",,
1344,,NKC,"81,44,53,22",,
1345,,A357F,"70,49,80,49",,
1346,,A365F,"11,79,75,2",,
1347,,SUW,"99,93,35,58",,
1348,,FIR,"32,10,29,0",,
1349,,JUP,"89,80,54,71",,
1350,,AAC,"93,59,24,5",,
1351,,HAH,"50,45,53,12",,
1352,,HIL,"92,85,0,0",,
1353,,MVH,"82,24,100,10",,
1354,,SAH,"70,5,100,0",,
1355,LNZ,LNZ,"81,44,53,22",,
1356,,APA,"69,36,0,0",,
1357,,STU,"36,13,0,0",,
1358,,VIN,"64,6,83,0",,
1359,,MAN,"100,92,37,33",,
1360,,BOT,"42,86,26,4",,
1361,,RBR,"20,40,65,1",,
1362,,TLK,"48,12,22,0",,
1363,,CYH,"67,0,37,0",,
1364,,DAH,"71,68,63,74",,
1365,,SKL,"88,58,0,0",,
1366,,BRR,"33,0,56,0",,
1367,,PSJ,"73,0,82,0",,
1368,,COA,"70,25,17,0",,
1369,,DTN,"87,47,77,53",,
1370,,KLS,"1,32,100,0",,
1371,,WTG,"36,72,52,17",,
1372,,HNS,"100,83,33,19",,
1373,,DCO,"46,69,74,51",,
1374,,STD,"91,49,42,16",,
1375,,GCK,"78,33,34,3",,
1376,,KMV,"12,100,95,2",,
1377,,SBC,"68,30,100,14",,
1378,,SMV,"24,68,100,12",,
1379,,WTL,"79,10,47,0",,
1380,,EST,"0,100,100,0",,
1381,,MTW,"50,0,97,0",,
1382,,STC,"0,6,13,0",,
1383,,KRK,"96,84,29,15",,
1384,,DNL,"84,81,22,7",,
1385,,NGT,"30,100,80,35",,
1386,,WKV,"64,0,50,0",,
1387,,HBR,"0,64,100,0",,
1388,,WKL,"33,88,69,33",,
1389,,WVF,"89,36,100,33",,
1390,,CAR,"27,89,79,24",,
1391,,SFR,"100,82,17,4",,
1392,,SHL,"100,80,17,4",,
1393,,TWN,"40,27,63,2",,
1394,,MUL,"77,7,40,0",,
1395,,ARW,"11,86,100,2",,
1396,,MNC,"100,82,41,36",,
1397,,BYR,"14,94,96,4",,
1398,,AVE,"80,54,0,0",,
1399,,ACV,"95,62,27,8",,
1400,,HLT,"34,47,77,11",,
1401,,PLY,"70,63,62,59",,
1402,,PFH,"100,99,30,23",,
1403,,PAL,"95,72,45,38",,
1404,,WTP,"69,26,30,0",,
1405,,PFW,"100,97,34,29",,
1406,,SMM,"85,29,54,8",,
1407,,VTN,"59,29,89,10",,
1408,,NIP,"85,70,0,0",,
1409,,MOB,"91,38,98,37",,
1410,,NOR,"79,51,54,29",,
1411,,CAO,"63,47,32,5",,
1412,,GRN,"89,37,69,24",,
1413,,DUR,"100,78,28,12",,
1414,,WDL,"51,0,26,0",,
1415,,PTC,"86,50,40,15",,
1416,,SOB,"73,5,19,0",,
1417,,HLM,"85,39,63,23",,
1418,,WNT,"11,51,96,0",,
1419,,RVR,"63,27,100,9",,
1420,,ARL,"100,98,14,17",,
1421,,WBR,"39,94,63,50",,
1422,,RSC,"100,98,21,8",,
1423,,VLA,"83,59,5,0",,
1424,,VLS,"83,59,5,0",,
1425,,VLG,"42,99,3,0",,
1426,,PMC,"46,19,7,0",,
1427,,MRT,"41,76,93,57",,
1428,,AWC,"87,86,32,20",,
1429,,MDL,"99,89,18,5",,
1430,,MDN,"99,89,18,5",,
1431,,SPH,"82,100,15,6",,
1432,,FRY,"17,99,100,7",,
1434,,FLC,"45,14,8,0",,
1435,,CBN,"76,18,84,3",,
1436,,ASB,"100,84,39,33",,
1437,,BKS,"95,65,30,11",,
1438,,HRV,"58,22,65,3",,
1439,,BWD,"62,66,65,63",,
1440,,EBR,"69,63,62,56",,
1441,,AOS,"51,69,77,65",,
1442,,SUN,"47,8,4,0",,
1443,,NSR,"100,82,41,36",,
1444,,LEE,"68,20,14,0",,
1445,,GER,"18,100,98,9",,
1446,,ACN,"23,93,100,17",,
1447,,NMI,"9,42,92,0",,
1448,,BRA,"20,50,100,3",,
1449,,PIT,"91,55,15,1",,
1450,,SCN,"28,100,100,31",,
1451,,ALV,"68,15,14,0",,
1452,,ORN,"62,2,74,0",,
1453,,RIS,"70,16,0,0",,
1454,,ACL,"100,82,17,4",,
1455,,CNT,"70,52,0,0",,
1456,,STR,"72,42,35,5",,
1457,,UWS,"59,38,64,15",,
1458,,VCS,"100,100,28,15",,
1459,,PRV,"77,48,84,55",,
1460,,NOT,"86,55,57,40",,
1461,,TRY,"51,47,100,29",,
1462,,NOP,"77,62,5,0",,
1463,,CMC,"62,29,0,0",,
1464,,NIX,"72,24,40,2",,
1465,,BAS,"57,28,100,9",,
1466,,ASN,"68,56,75,61",,
1467,,ANG,"0,99,97,0",,
1468,,WSL,"95,67,21,5",,
1469,,FRT,"69,64,63,64",,
1470,,TEN,"71,65,64,72",,
1471,,RON,"17,98,93,7",,
1472,,CPN,"100,88,22,8",,
1473,,SOT,"87,46,11,0",,
1474,,ALM,"72,50,97,57",,
1475,,PCR,"88,50,62,40",,
1476,,IRH,"99,83,31,17",,
1477,,WDM,"87,38,62,22",,
1478,,CGR,"90,62,64,67",,
1479,,TMP,"100,97,10,7",,
1480,,SOP,"67,26,100,9",,
1481,,WLW,"0,49,98,0",,
1482,,VSW,"100,100,33,39",,
1483,,RBW,"87,41,86,42",,
1484,,OSL,"92,59,54,41",,
1485,,BLB,"48,52,28,2",,
1486,,MNM,"89,25,100,12",,
1487,,VAS,"100,98,15,3",,
1488,,SEV,"28,86,81,25",,
1489,,SAU,"57,23,53,2",,
1490,,SMP,"41,88,74,62",,
1491,,AAR,"30,98,98,40",,
1492,,HRD,"42,5,22,0",,
1493,,PVB,"78,29,18,0",,
1494,,COP,"100,91,39,38",,
1495,,PLR,"80,18,49,1",,
1496,,FRD,"63,22,0,0",,
1497,,COO,"69,63,62,58",,
1498,,DLL,"80,65,0,0",,
1499,,END,"85,44,100,49",,
1500,,VMH,"79,52,85,67",,
1501,,MCN,"44,0,31,0",,
1502,,OLW,"45,36,11,0",,
1503,,RCK,"55,12,2,0",,
1504,,BRS,"38,93,84,60",,
1505,,BKH,"100,89,18,5",,
1506,,MDO,"88,37,98,34",,
1507,,PSA,"41,2,64,0",,
1508,,AMW,"67,25,0,0",,
1509,,HMB,"40,91,78,62",,
1510,,NOV,"56,11,0,0",,
1511,,MSC,"87,23,100,9",,
1512,,ROA,"96,72,3,0",,
1513,,SOH,"16,1,2,0",,
1514,,BCO,"50,2,2,0",,
1515,,VOL,"51,0,26,0",,
1516,,BEW,"5,40,60,0",,
1517,,RBV,"80,8,70,0",,
1518,,PCL,"19,0,4,0",,
1519,,PMR,"39,64,57,20",,
1520,,VNT,"89,54,50,29",,
1521,,CLY,"56,75,48,33",,
1522,,RBN,"64,44,83,33",,
1523,,GSH,"0,99,100,0",,
1524,,YNC,"100,87,23,9",,
1525,,WTD,"31,97,85,38",,
1526,,WIS,"84,34,33,3",,
1527,,SPY,"16,96,93,6",,
1528,,MTC,"84,44,31,5",,
1529,,ADR,"90,34,96,26",,
1530,,YNG,"0,94,65,0",,
1531,,BVR,"71,64,56,47",,
1532,,ADL,"44,69,98,55",,
1533,,ACK,"75,33,2,0",,
1534,,CTY,"72,60,51,34",,
1535,,LBN,"84,100,10,2",,
1536,,PLV,"100,77,21,6",,
1537,,HNN,"83,53,30,7",,
1538,,LEO,"12,90,80,2",,
1539,,PVV,"90,41,79,40",,
1540,,LAG,"76,38,91,31",,
1541,,WNA,"78,27,53,5",,
1542,,STM,"100,88,30,18",,
1543,,BOU,"29,100,100,37",,
1544,,DIA,"84,48,56,29",,
1545,,CPA,"98,76,1,0",,
1546,,SPK,"76,37,29,2",,
1547,,DRK,"67,0,18,0",,
1548,,STT,"88,29,100,20",,
1549,,PWT,"29,100,100,38",,
1551,CRG,CRG,"89,77,41,33",,
1552,,MEW,"74,69,44,31",,
1553,,SVV,"100,93,25,12",,
1554,,ASO,"100,97,21,8",,
1555,,GLB,"19,69,87,6",,
1556,,MLR,"75,38,100,31",,
1557,,YLM,"25,100,92,24",,
1558,,XRD,"28,96,91,29",,
1559,,PLP,"75,56,42,19",,
1560,,CLN,"95,82,12,2",,
1561,,CSC,"0,74,100,0",,
1562,,BTM,"15,100,90,10",,
1563,,PSC,"24,39,64,2",,
1564,,SRD,"10,45,85,0",,
1565,,KNC,"7,100,100,2",,
1566,,ECP,"20,94,81,9",,
1567,,PRG,"75,68,67,90",,
1568,,HOU,"75,6,27,0",,
1569,,STO,"79,45,98,52",,
1570,,CTO,"100,100,20,22",,
1571,,AMG,"53,85,27,8",,
1572,,NCL,"5,0,41,0",,
1573,,ADV,"40,12,100,0",,
1574,,PRK,"64,6,23,0",,
1575,,WED,"3,100,82,0",,
1576,,AWS,"75,15,74,2",,
1577,,AWO,"24,100,87,18",,
1578,,AWW,"98,73,44,35",,
1579,,AWB,"98,71,44,35",,
1580,,AWF,"98,71,44,35",,
1581,,FUR,"89,78,0,0",,
1582,,CNR,"54,52,50,17",,
1583,,MLV,"22,10,0,0",,
1584,,SSR,"100,78,25,9",,
